Reference Code,Solution Name (Eng),Cosine Similarity
S-0191,NoQ E Form registration and quota distribution for massive traffic,0.5367113
S-0215,Self Check-in system for self-quarantined personal,0.5366705
S-0224,OceanX Workflow,0.5366477
S-0037,4D Immersive CAVE,0.5366137
S-0246,Remo Video Conferencing,0.53659
S-0275,SMore-OCR,0.5365854
S-0203,Government payment scheme online application and data processing,0.53657997
S-0106,"Smart bin trash collection solution, especially remote area",0.5365632
S-0002,DataCube Data Intelligent Automation Solution,0.53653127
S-0066,Smart Water Management,0.53653
S-0222,Agorize Innovation Sourcing Platform,0.536493
S-0093,DataOS System,0.5364824
S-0167,IXIA ThreatARMOR,0.5364779
S-0322,NB-IoT / LoRa Dual-detection Smart Parking Sensing Technology,0.53647137
S-0112,Pyxis - The Internet of Things(IoT) Solution for Construction 2.0 and Beyond,0.53643954
S-0286,IoT Sensors and Automatic Monitoring System (AMS),0.5364349
S-0204,DOLPHIN Indoor Positioning Service (IPS),0.5364099
S-0259,Software Robotic Solution - iBot,0.5364029
S-0296,BLOK Pass App for Travel Bubble,0.5363656
S-0014,2D Face Re-identification,0.53625506
S-0016,Cyclops -- Smart City & unmanned store solution,0.53623915
S-0015,3D Face Re-identification,0.53616387
S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.5361577
S-0188,Data Vaccinator,0.5361525
S-0057,Artificial Intelligence Security Surveillance Protection  (AISSP),0.5361508
S-0189,COVID19 Community Prevention Software System,0.5361329
S-0114,Worker Insights,0.53610694
S-0118,Alteryx,0.53610355
S-0077,Anywhere Networks,0.5360668
S-0220,3D Spatial Intelligence Platform for flow and traffic managements,0.5359899
S-0027,Big Data Enabler Service (project based),0.5359361
S-0023,Payment Solution for Housing Authority and Leisure and Cultural Department,0.5358977
S-0124,Enterprise Intelligent Assistant,0.5358258
S-0180,AR/ VR/ Interactive Design & Development,0.5357993
S-0266,Site Audit and Inspection Recording System,0.5357981
S-0083,Smart Pharma Packaging,0.5357487
S-0054,TicketME Blockchain Ticketing Platform,0.5357027
S-0038,Hybrid Reality Platform,0.5357016
S-0007,Smart Life,0.53569883
S-0138,Radware DefensePro and AppWall,0.5356789
S-0193,Dahua Body Temp Measurement Solution,0.53567874
S-0081,iQ-Road and Traffic Management,0.5355856
S-0239,InterOps Accelerator,0.5355485
S-0125,"BIM, BMS and IoT Integration",0.53554714
S-0039,iQ-Dwell Time Management System,0.5355044
S-0166,IXIA BREAKINGPOINT,0.5354679
S-0029,"Field Services Management System using IoT, GIS and Mobile Technologies",0.5354617
S-0071,All-in-one Data Center - iDCmini System,0.5354336
S-0250,UiPath Automation Platform,0.5353984
S-0213,Radar-based smart motion and position tracking system,0.53538716
S-0173,Go VR Immersive - Hololens 2 Mixed Reality Solution,0.5353141
S-0186,Technology of independent intellectual property identity authentication and tracking of close contacts of patients to assist in epidemic prevention and control and return to work,0.53530645
S-0133,PANGA - Data Infrastructure Edge Computing for Smart Cities,0.5352928
S-0109,Face Recognition Door Access System,0.53528386
S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.53527755
S-0067,AR Smart Glass Assisted for equipment training and O&M,0.5352477
S-0005,Smart Lamp Pole and Robotic,0.535232
S-0047,Smart Taxpayer Services with Machine Learning,0.53520054
S-0024,Automated Refuse Collection System with 1 chute for multi fractions,0.53514904
S-0238,Rice Robotics,0.5351159
S-0148,Zscaler,0.5351109
S-0053,Real-Time Origin-Destination Analysis Tool (RODAT）,0.53510785
S-0205,Centrak Quarantine Management Solution,0.5351014
S-0122,"Smart City Solution - IoT, AI, Data Analytics Platform, Control",0.53509635
S-0265,Business Process Management Platform,0.5350555
S-0209,Control-M (BMC Software),0.5350542
S-0172,Earthy,0.53504235
S-0046,SAP Digital Boardroom,0.5349844
S-0282,Chatbot Solution - ccRobot,0.53494567
S-0254,FormExtractor,0.5349443
S-0073,Enlighted Multi-Features Micro IoT Sensors Solution,0.5349413
S-0103,SP-RFID Smart Asset Management System,0.5349409
S-0059,EMF Workplaces Evaluation Program,0.5348994
S-0010,Precise Facility Crowd Analysis,0.5348892
S-0196,Personnel and Asset positioning management system,0.5348855
S-0146,Promon Shield - Application Protection and Security for IoT & Connected Devices,0.5348177
S-0085,SAP Geospatial Asset Management,0.53480744
S-0207,Pandemic Management System,0.53480196
S-0165,Health Monitoring System,0.53479886
S-0281,"Smart 5G Integrated Multi-Operator Active Distributed Antenna Solution for Malls, Venues and Stadiums",0.53477603
S-0108,SparkXIO Smart Car Park Management System,0.53475946
S-0048,AI-based Application,0.5347536
S-0279,RoomQ virtual waiting room for massive traffic,0.53471684
S-0150,A.I. Facial Recognition Application for Event Photo Delivery,0.5346974
S-0123,Complete Encryption with HSM,0.53460974
S-0128,Iris by HKT - From Surveillance to Intelligence,0.5345882
S-0218,Chief,0.5345343
S-0273,Talos,0.5345334
S-0074,AI Chiller Plant – Smart Chiller Plant Optimization using Artificial Intelligence,0.5345008
S-0240,Multilingual Voice Assistant,0.5344926
S-0264,Smart Parking with Video Analytics,0.53447014
S-0141,HubSecurity,0.5344416
S-0040,RVM One Stop Recycling Solution,0.53443867
S-0147,Privacy-aware people counting system using Smart Radar sensor,0.53442794
S-0221,AI and IT enhanced learning platform,0.5344183
S-0210,AI Cloud for Smart Construction,0.5344113
S-0194,UWB Beacon RTLS Solution,0.534404
S-0095,Create Efficient and Simplify Business Processes Using NFC,0.53439176
S-0157,NLP-powered Chatbot by Xiaomi,0.5343429
S-0101,​LANDRAY Office Automation (OA) system solutions,0.5343189
S-0249,Robotic Process Automation with A.I. Data Capturing Capability,0.53430337
S-0075,Altai SuperWiFi Solution,0.5342561
S-0242,Queue-it -  Virtual Waiting Room,0.5342205
S-0234,Pixel Eye Vision-Based Fall Detection,0.53416634
S-0153,Dynatrace,0.534137
S-0237,V-K V-OS Cloud Solutions,0.5341307
S-0026,Knowledge Management Solution (KM Power),0.5341263
S-0156,Neo,0.53411764
S-0283,All-in-one Mobile Productivity Platform,0.5341113
S-0107,POARD Your Presentation Stage,0.53408504
S-0134,Smart Building - Energy Management and Optimization Solutions,0.534018
S-0062,Parkingbnb,0.53393024
S-0267,Smart Fever Screening System,0.533917
S-0009,Precise And Responsive Indoor Location Tracking,0.53390807
S-0126,Self Service Business Intelligence,0.53390586
S-0132,Mobility Mesh Wi-Fi Application for Smart City,0.5338293
S-0216,BMC Helix Service & Operations Management,0.5337921
S-0229,SonoWatermark,0.5337504
S-0231,AI Information push service management system,0.53371364
S-0096,Clare.AI Asian Language Chatbot Solutions,0.5337034
S-0168,IXIA Vision ONE (Network Packet Broker),0.5336593
S-0021,ReportNOW,0.53361696
S-0144,ZIroh Labs - Advanced Data Privacy and Encryption Technology,0.53358746
S-0251,Self Service Bike Rental Solution,0.5335309
S-0232,"""Smart"" Car Park Management System",0.53350693
S-0288,Mixed language Chatbot system with AI and voice functions,0.5334593
S-0110,People Counting System (PCS),0.53344035
S-0004,Euclideon Vault - Smart City IOT 3D visualization,0.5333711
S-0061,A.I. and Mixed Reality Solution,0.53330463
S-0019,Personalized Education System,0.53329706
S-0087,Smart Citizen and Employee Self-Services,0.5332881
S-0195,SuperAcc Document Intelligence,0.53327453
S-0160,Smart glass,0.53324866
S-0008,Shape Security - Shape Enterprise Defense,0.5332312
S-0262,Mobile application development,0.5332171
S-0127,Event Management technology,0.5332064
S-0201,Non image base access control,0.53318495
S-0090,Smart Employee Learning Management,0.53317976
S-0111,Smart car park solution,0.533115
S-0145,Arcserve® Appliance Series,0.53310555
S-0104,Litbulb Technologies,0.53301615
S-0092,Enable the wireless connectivity for IoT devices,0.5330138
S-0174,VR Training & Education System,0.53297937
S-0292,Telepresence and Video Conferencing Solution,0.532971
S-0187,Provide an implementation plan for the Hongkong Financial Secretary's policy of granting HK $10 thousand to permanent residents aged 18 or above.,0.5329485
S-0244,ServiceNow - ITSM solution,0.5329417
S-0181,Artificial Intelligence Camera Solutions,0.53288275
S-0139,imVision,0.5328742
S-0228,eClass Corporate Learning Management System (LMS),0.5326778
S-0001,PixelEye Object Detection,0.5326663
S-0032,AI+IAQ Proptech: Zonal object counting by skeleton & form recognition integrated with indoor environmental control and room utilization management,0.5326164
S-0076,NEC InfoCage FileShell,0.5326026
S-0235,Pixel Eye Safety Helmets Detection,0.5325917
S-0080,OceanX Cloud-based Enterprise Content Management (ECM),0.5325866
S-0214,ACX Visitor Management System,0.53258234
S-0300,Smart Guiding Robot,0.532465
S-0219,"VR Virtual Store, Training & Education System",0.5324445
S-0098,ECOPLANT Solar Tracking Solar Panel System,0.53242457
S-0299,Office Delivery Robot,0.53241664
S-0099,NB IoT Sensor Solution,0.53238714
S-0236,Workflow automation solution,0.532339
S-0068,Reliability Centered Asset Management - Dynamic (RCAM-dyn),0.53231114
S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,0.5322789
S-0163,Ai-Knowie,0.5322475
S-0140,Drivelock,0.53224355
S-0253,Intelligent Face Mask,0.5321038
S-0094,Digital Transformation with Low code development platform,0.53208756
S-0097,Smart Home e-Health Monitoring and Care System,0.5320744
S-0102,Miovision's Portable Solution for Traffic Data Collection,0.53207314
S-0233,Area monitoring solution using 3D camera with privacy-preserving,0.5319524
S-0115,All-in-one event management software,0.531913
S-0034,Cloud Energy Management Platform,0.5318818
S-0248,OFS Website Tracking System,0.5318347
S-0272,Hybrid/ E Bus/ Mini Bus and Ferry Boat,0.53157353
S-0252,Critical Event Management,0.5315483
S-0175,Thermal Imaging Body Temperature Measurement Solution,0.5315391
S-0152,Datax,0.53139037
S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,0.53134894
S-0190,Una Interactive Training Platform,0.5313238
S-0208,Indoor Map and Positioning for Smart City,0.53131133
S-0211,Customised Mobile Application solution,0.5312827
S-0086,Micro-Chip 2.0 for pets,0.53116953
S-0287,Siemens Mobility (e-)bike sharing powered by AI,0.5310647
S-0294,Live Webinar Streaming service,0.53104526
S-0143,Cyberbit,0.53083795
S-0289,Life Planning & Blockchain,0.5307243
S-0261,DragOnce Platform,0.5307
S-0033,ATAL’s Cloud-based Chiller Plant Energy Management Platform (EM-Platform),0.53064746
S-0159,Integrated Smart Film Solutions,0.5306351
S-0116,Smart Parking Solution,0.53059405
S-0028,ShipAny - First Smart Logistics Gateway for HK Domestic Logistics Service,0.5305484
S-0091,Next Generation Growable Optical Networks,0.530508
S-0017,Falling Alert System for Elderly Care-- Optical Monitoring System (OMS),0.5304382
S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",0.53040206
S-0177,MAD Gaze Smart Glass,0.5302618
S-0042,Smart Water Duct Valve for shared Housing,0.5301472
S-0212,AI Solution for Outdoor People Counting without invading privacy,0.53014606
S-0245,Locobike：Automatic Bicycle Rental System,0.52991676
S-0121,Chatbot Solution and NLP applications from ZhuiYi Technology,0.5298538
S-0006,Centimeter level precision GNSS positioning Android tablet/smartphone,0.5296668
S-0120,Raspect-ACE,0.52937293
S-0155,Stella Enterprise Chatbot Builder,0.5285119
S-0176,Epidemic prevention and control management system,0.52836627
S-0130,OpenLegacy API factory,0.5282032
S-0050,Deloitte ASSIST,0.5279646
S-0280,Digital parking solutions for enterprise (Include online pre booking and payment settle),0.52671564
S-0170,Nixplay Signage,0.5264333
S-0070,Well井 Smart Water Station,0.5256997
