Reference Code,Solution Name (Eng),Cosine Similarity
S-0095,Create Efficient and Simplify Business Processes Using NFC,0.6313957
S-0115,All-in-one event management software,0.63108367
S-0230,STEMHUB Education Platform,0.63090235
S-0076,NEC InfoCage FileShell,0.6287676
S-0243,LiDAR Road Monitoring Solutions based on Deep Learning Technology,0.6284615
S-0225,DocAnalyzer - Document Review Solution,0.62785184
S-0101,​LANDRAY Office Automation (OA) system solutions,0.627414
S-0214,ACX Visitor Management System,0.62733084
S-0213,Radar-based smart motion and position tracking system,0.62710553
S-0054,TicketME Blockchain Ticketing Platform,0.62670267
S-0212,AI Solution for Outdoor People Counting without invading privacy,0.6266914
S-0178,Motor Insurance DLT Authentication System - MIDAS,0.6256795
S-0119,Ziizau - Optimization of route design,0.6251735
S-0080,OceanX Cloud-based Enterprise Content Management (ECM),0.6240482
S-0093,DataOS System,0.6214346
S-0171,Augmented Reality (AR) model,0.62128013
S-0264,Smart Parking with Video Analytics,0.62067604
S-0199,V-Key Mobile App Protection,0.6205763
S-0177,MAD Gaze Smart Glass,0.6200931
S-0150,A.I. Facial Recognition Application for Event Photo Delivery,0.61934954
S-0074,AI Chiller Plant – Smart Chiller Plant Optimization using Artificial Intelligence,0.6187217
S-0222,Agorize Innovation Sourcing Platform,0.61857027
S-0282,Chatbot Solution - ccRobot,0.6184894
S-0175,Thermal Imaging Body Temperature Measurement Solution,0.617942
S-0188,Data Vaccinator,0.61768436
S-0136,Document Authentication,0.6174317
S-0170,Nixplay Signage,0.6167351
S-0013,Public Event Tracking and Early Warning Analysis System,0.61623096
S-0167,IXIA ThreatARMOR,0.61561114
S-0057,Artificial Intelligence Security Surveillance Protection  (AISSP),0.61541784
S-0016,Cyclops -- Smart City & unmanned store solution,0.61495113
S-0024,Automated Refuse Collection System with 1 chute for multi fractions,0.6147666
S-0226,"Sky Drone - Autonomous Drone Solution (""Drone-in-a-Box"")",0.6144363
S-0273,Talos,0.6134362
S-0146,Promon Shield - Application Protection and Security for IoT & Connected Devices,0.61314917
S-0154,Cisco Stealthwatch Encrypted Traffic Analytics,0.61150944
S-0221,AI and IT enhanced learning platform,0.6106538
S-0256,AIOps (Artificial Intelligence for IT Operations) Solution,0.6102109
S-0053,Real-Time Origin-Destination Analysis Tool (RODAT）,0.61009556
S-0255,Authgear,0.60924405
S-0108,SparkXIO Smart Car Park Management System,0.6088708
S-0158,Switchable Glass / Film,0.6075836
S-0069,Citizen Cloud,0.60643476
S-0141,HubSecurity,0.605967
S-0182,AppProtect+ (RASP) / YESsafe Zero Login (OTP) / AccessMatrix Universal Sign-On (SSO),0.6055098
S-0127,Event Management technology,0.60535085
S-0056,Advanced Contextual Analytic Solution for public enquiries,0.60532314
S-0019,Personalized Education System,0.60507786
S-0239,InterOps Accelerator,0.60472095
S-0227,Intelligent liquid crystal dimming film,0.604505
S-0292,Telepresence and Video Conferencing Solution,0.603898
S-0247,Seclore Digital Rights Management,0.60386443
S-0286,IoT Sensors and Automatic Monitoring System (AMS),0.6033286
S-0012,"Monitoring and Early Warning System for Holding Concentration, Insider Trading, Short-selling and Stock Price Manipulation",0.6028068
S-0179,"""TeleVoice""  AI Robot Solution for DHS (Demographic and Health Surveys)",0.60184765
S-0163,Ai-Knowie,0.6012739
S-0083,Smart Pharma Packaging,0.60108817
S-0008,Shape Security - Shape Enterprise Defense,0.60071826
S-0023,Payment Solution for Housing Authority and Leisure and Cultural Department,0.6002873
S-0211,Customised Mobile Application solution,0.6001248
S-0065,Smart Mobility,0.5983576
S-0196,Personnel and Asset positioning management system,0.59707534
S-0168,IXIA Vision ONE (Network Packet Broker),0.5959329
S-0070,Well井 Smart Water Station,0.5957357
S-0173,Go VR Immersive - Hololens 2 Mixed Reality Solution,0.59553075
S-0017,Falling Alert System for Elderly Care-- Optical Monitoring System (OMS),0.5953061
S-0124,Enterprise Intelligent Assistant,0.59380573
S-0169,Robotic Assistant,0.5934889
S-0202,One card e-payment solution for GBA(Guangdong-hong kong-Macao Greater Bay area),0.5915763
S-0134,Smart Building - Energy Management and Optimization Solutions,0.59109956
S-0028,ShipAny - First Smart Logistics Gateway for HK Domestic Logistics Service,0.59064996
S-0216,BMC Helix Service & Operations Management,0.5899397
S-0159,Integrated Smart Film Solutions,0.58933353
S-0242,Queue-it -  Virtual Waiting Room,0.5892694
S-0063,UHD Multi-Channel Video Live Broadcast,0.58689415
S-0014,2D Face Re-identification,0.5859952
S-0002,DataCube Data Intelligent Automation Solution,0.58495754
S-0049,Blockchain Solution,0.5843849
S-0223,OceanX Share,0.5841349
S-0244,ServiceNow - ITSM solution,0.583911
S-0240,Multilingual Voice Assistant,0.5837006
S-0112,Pyxis - The Internet of Things(IoT) Solution for Construction 2.0 and Beyond,0.58347076
S-0205,Centrak Quarantine Management Solution,0.58287275
S-0197,WCL Robotic Process Automation Solution,0.5828182
S-0231,AI Information push service management system,0.5822244
S-0039,iQ-Dwell Time Management System,0.58152235
S-0172,Earthy,0.58150506
S-0232,"""Smart"" Car Park Management System",0.58050764
S-0034,Cloud Energy Management Platform,0.57986796
S-0148,Zscaler,0.5792079
S-0236,Workflow automation solution,0.5791082
S-0048,AI-based Application,0.5784625
S-0260,Mobile platform with handheld devices for on-site inspection and remote work duties,0.57829314
S-0266,Site Audit and Inspection Recording System,0.5765639
S-0029,"Field Services Management System using IoT, GIS and Mobile Technologies",0.5760519
S-0183,An Intelligent Solution for Automatic Processing and Chasing of Documents,0.5746327
S-0287,Siemens Mobility (e-)bike sharing powered by AI,0.57243985
S-0224,OceanX Workflow,0.57109964
S-0061,A.I. and Mixed Reality Solution,0.5710992
S-0251,Self Service Bike Rental Solution,0.56996167
S-0288,Mixed language Chatbot system with AI and voice functions,0.56947905
S-0210,AI Cloud for Smart Construction,0.5693417
S-0300,Smart Guiding Robot,0.5691214
S-0096,Clare.AI Asian Language Chatbot Solutions,0.5687546
S-0066,Smart Water Management,0.5674289
S-0253,Intelligent Face Mask,0.56742716
S-0116,Smart Parking Solution,0.5671615
S-0113,Video Analytics Solution,0.5666091
S-0129,Automatic ID/Travel Document Recognition and Validation - OCR Solution,0.56593716
S-0176,Epidemic prevention and control management system,0.5653184
S-0165,Health Monitoring System,0.56527036
S-0067,AR Smart Glass Assisted for equipment training and O&M,0.56507707
S-0030,IoT Building Access Control System,0.5631641
S-0079,"1/ AccuID, 2/ Pedestrian Analytics, 3/ Vehicle Analytics",0.56243384
S-0062,Parkingbnb,0.5620202
S-0238,Rice Robotics,0.5609732
S-0215,Self Check-in system for self-quarantined personal,0.55917037
S-0091,Next Generation Growable Optical Networks,0.5585743
S-0099,NB IoT Sensor Solution,0.5560017
S-0004,Euclideon Vault - Smart City IOT 3D visualization,0.5559221
S-0237,V-K V-OS Cloud Solutions,0.55559987
S-0082,A.I. Contact Center and User Engagement Solution,0.55233914
S-0020,Machines Predictive Maintenance,0.55177104
S-0294,Live Webinar Streaming service,0.5511948
S-0262,Mobile application development,0.5507516
S-0037,4D Immersive CAVE,0.548986
S-0275,SMore-OCR,0.5458325
S-0204,DOLPHIN Indoor Positioning Service (IPS),0.54326206
S-0181,Artificial Intelligence Camera Solutions,0.5431317
S-0271,Server Data Analysis Service (User & Data),0.5426039
S-0047,Smart Taxpayer Services with Machine Learning,0.54151416
S-0068,Reliability Centered Asset Management - Dynamic (RCAM-dyn),0.5413334
S-0283,All-in-one Mobile Productivity Platform,0.5402301
S-0162,Automate the verification of electronic documents,0.5401492
S-0089,Smart Infrastructure Projects Planning and Execution,0.5399451
S-0156,Neo,0.53786707
S-0235,Pixel Eye Safety Helmets Detection,0.5377418
S-0114,Worker Insights,0.5371034
S-0086,Micro-Chip 2.0 for pets,0.5369057
S-0055,Smart City Electric Vehicle (EV) Charging Infrastructure Solution,0.5369019
S-0125,"BIM, BMS and IoT Integration",0.53587896
S-0279,RoomQ virtual waiting room for massive traffic,0.5355312
S-0064,Smart Education(Class VR),0.5340693
S-0059,EMF Workplaces Evaluation Program,0.5337873
S-0246,Remo Video Conferencing,0.53345424
S-0084,NFC Product Authentication,0.53334945
S-0045,SAP Big Data Solution,0.5332502
S-0098,ECOPLANT Solar Tracking Solar Panel System,0.53251743
S-0090,Smart Employee Learning Management,0.5322303
S-0042,Smart Water Duct Valve for shared Housing,0.5313427
S-0203,Government payment scheme online application and data processing,0.5312262
S-0229,SonoWatermark,0.5308381
S-0073,Enlighted Multi-Features Micro IoT Sensors Solution,0.5304776
S-0249,Robotic Process Automation with A.I. Data Capturing Capability,0.52935576
S-0265,Business Process Management Platform,0.527595
S-0107,POARD Your Presentation Stage,0.5267738
S-0289,Life Planning & Blockchain,0.5263748
S-0133,PANGA - Data Infrastructure Edge Computing for Smart Cities,0.5262083
S-0157,NLP-powered Chatbot by Xiaomi,0.52340305
S-0250,UiPath Automation Platform,0.5217992
S-0111,Smart car park solution,0.51934373
S-0139,imVision,0.5181108
S-0110,People Counting System (PCS),0.5179618
S-0207,Pandemic Management System,0.517689
S-0006,Centimeter level precision GNSS positioning Android tablet/smartphone,0.5160488
S-0137,Splunk,0.51477146
S-0147,Privacy-aware people counting system using Smart Radar sensor,0.5137037
S-0121,Chatbot Solution and NLP applications from ZhuiYi Technology,0.51340586
S-0193,Dahua Body Temp Measurement Solution,0.5115316
S-0072,Digital Twin of the City (or Town),0.5099124
S-0145,Arcserve® Appliance Series,0.5091433
S-0252,Critical Event Management,0.50897545
S-0001,PixelEye Object Detection,0.50879115
S-0081,iQ-Road and Traffic Management,0.5076405
S-0094,Digital Transformation with Low code development platform,0.5073716
S-0209,Control-M (BMC Software),0.50315595
S-0152,Datax,0.50267243
S-0087,Smart Citizen and Employee Self-Services,0.5018606
S-0180,AR/ VR/ Interactive Design & Development,0.5016831
S-0191,NoQ E Form registration and quota distribution for massive traffic,0.5000936
S-0259,Software Robotic Solution - iBot,0.4931179
S-0109,Face Recognition Door Access System,0.49308962
S-0100,Super Massive 3D Model Data Expert,0.49056435
S-0071,All-in-one Data Center - iDCmini System,0.49021935
S-0051,Insight Driven Organization (IDO),0.48893753
S-0164,Relate App,0.4887909
S-0195,SuperAcc Document Intelligence,0.485136
S-0104,Litbulb Technologies,0.4850951
S-0118,Alteryx,0.48004666
S-0189,COVID19 Community Prevention Software System,0.47968048
S-0040,RVM One Stop Recycling Solution,0.47681758
S-0103,SP-RFID Smart Asset Management System,0.47664803
S-0060,FROM Network Audit Programs,0.46828267
S-0128,Iris by HKT - From Surveillance to Intelligence,0.46496457
S-0201,Non image base access control,0.4550141
S-0143,Cyberbit,0.45143119
S-0248,OFS Website Tracking System,0.44773018
S-0038,Hybrid Reality Platform,0.4448706
S-0161,LiDAR and Optical Sensing applications for Smart City,0.44310156
S-0005,Smart Lamp Pole and Robotic,0.4418698
S-0120,Raspect-ACE,0.4411304
S-0155,Stella Enterprise Chatbot Builder,0.4408955
S-0126,Self Service Business Intelligence,0.43912426
S-0123,Complete Encryption with HSM,0.42694125
S-0041,A.I. and speech solutions by Nexify and iFLYTEK,0.42475796
S-0272,Hybrid/ E Bus/ Mini Bus and Ferry Boat,0.42307127
S-0026,Knowledge Management Solution (KM Power),0.4126176
S-0058,IoT Cybersecurity Testing and Certification Program,0.41059288
S-0077,Anywhere Networks,0.4059106
S-0106,"Smart bin trash collection solution, especially remote area",0.38879228
S-0131,ISS Project Management System,0.3849519
S-0007,Smart Life,0.36754966
S-0052,OpenCloud CMP,0.30586973
S-0135,ISS Analytics Services,0.2913607
S-0218,Chief,0.2785105
S-0160,Smart glass,0.2342672
